Program,University,COLOMBO,GAMPAHA,KALUTARA,MATALE,KANDY,NUWARA ELIYA,GALLE,MATARA,HAMBANTOTA,JAFFNA,KILINOCHCHI,MANNAR,MULLAITIVU,VAVUNIYA,TRINCOMALEE,BATTICALOA,AMPARA,PUTTALAM,KURUNEGALA,ANURADHAPURA,POLONNARUWA,BADULLA,MONARAGALA,KEGALLE,RATNAPURA
OPTOMETRY,University of Sri Jayewardenepura,1.4086,1.2372,1.3898,1.3834,1.3863,1.1477,1.3966,1.4537,1.4359,1.4772,1.405,1.3446,1.4866,1.3532,1.4911,1.47,1.4633,1.4935,1.4388,1.1741,1.0784,1.3195,1.4246,1.4595,1.4414
ENVIRONMENTAL CONSERVATION & MANAGEMENT,University of Kelaniya,0.801,0.8661,0.8829,0.7818,0.8357,0.7375,0.9434,0.9402,0.975,0.6446,0.4486,0.9298,0.9779,0.6177,0.6674,0.6503,0.8476,0.8203,0.845,0.7954,0.8926,0.825,0.7508,0.9707,0.9048
APPLIED CHEMISTRY,University of Kelaniya,1.4664,1.4405,1.4741,1.3373,1.3994,1.2978,1.4173,1.4785,1.4686,1.371,0.9322,1.041,0.9189,0.8452,1.2645,1.4021,1.4615,1.3995,1.4146,1.3664,1.2529,1.33,1.3832,1.3978,1.4141
ELECTRONICS AND COMPUTER SCIENCE,University of Kelaniya,1.4536,1.4319,1.4332,1.443,1.4093,0.9738,1.4452,1.4616,1.4254,1.4517,1.0147,1.0521,0.9422,1.2451,1.1905,1.4344,1.1898,1.2916,1.4234,1.3349,1.2973,1.3951,1.371,1.4044,1.4149
ACCOUNTING INFORMATION SYSTEMS,University of Kelaniya,1.6551,1.5243,1.7029,1.5773,1.4866,1.665,1.5494,1.6972,1.6388,1.4075,NQC,1.0883,-0.2361,1.0641,1.5726,1.6337,1.6489,1.7022,1.6647,1.5635,1.6929,1.5592,1.7148,1.7144,1.7204
FISHERIES & MARINE SCIENCES,University of Ruhuna,0.6364,0.5586,0.7498,0.7222,0.6057,0.5771,0.6993,0.722,0.7208,0.6113,0.4242,0.4677,0.6402,0.4123,0.5575,0.5615,0.6243,0.5322,0.6808,0.5574,0.4872,0.6684,0.688,0.6958,0.7058
MARINE AND FRESHWATER SCIENCES,University of Ruhuna,0.866,0.8085,0.8267,0.8861,0.8251,0.8625,0.8847,0.9032,0.8198,0.9031,0.5578,0.7679,0.3524,0.785,0.901,0.8468,0.7123,0.6873,0.8054,0.6968,0.6411,0.7959,0.7977,0.872,0.9135
ANIMAL SCIENCE & FISHERIES,University of Peradeniya,0.9481,1.0099,1.0219,0.934,1.0044,0.9404,1.0082,0.9949,1.046,1.0147,1.0118,0.3409,0.8046,0.4319,0.5905,1.0512,0.7761,0.9096,1.0332,0.8369,0.9751,0.9895,1.0657,1.0004,1.0032
FOOD PRODUCTION & TECHNOLOGY MANAGEMENT,Wayamba University of Sri Lanka,0.7182,0.8552,0.902,0.8352,0.9292,0.7283,0.8833,0.9253,0.9657,0.8549,0.7285,0.8604,0.5136,0.8849,0.7388,0.6946,0.7503,0.9316,0.9156,0.8638,0.7492,0.8575,0.9543,0.9211,0.8539
FOOD BUSINESS MANAGEMENT [Biological / Physical Science Stream],Sabaragamuwa University of Sri Lanka,0.7977,0.743,0.7559,0.6908,0.7817,0.6827,0.8451,0.8623,0.8504,0.8635,0.3782,0.4877,0.2773,0.3543,0.7876,0.8316,0.8117,0.6864,0.7927,0.6143,0.6793,0.7773,0.8444,0.854,0.7808
FOOD BUSINESS MANAGEMENT [Commerce Stream],Sabaragamuwa University of Sri Lanka,1.2957,1.2977,1.2797,1.1666,1.2572,1.1065,1.3291,1.3384,1.1523,1.0644,0.5331,1.0606,1.178,1.0095,1.1627,1.0752,1.0157,1.0872,1.258,1.2046,1.3173,1.3014,1.276,1.3112,1.2731
MANAGEMENT AND INFORMATION TECHNOLOGY (SEUSL),South Eastern University of Sri Lanka,1.3457,1.43,1.4332,1.5725,1.5037,1.3993,1.5275,1.4749,1.3632,1.5027,1.4104,1.5983,1.562,1.5617,1.5828,1.5841,1.592,1.5525,1.4961,1.4766,1.3861,1.4761,1.4126,1.5412,1.4501
COMPUTING & INFORMATION SYSTEMS,Sabaragamuwa University of Sri Lanka,1.0381,1.038,1.1007,0.8558,0.9399,0.5573,1.084,1.1215,1.0793,1.1011,0.9562,0.5667,0.5171,1.064,0.992,1.0319,1.0374,1.0346,1.0631,0.9517,0.7058,1.0868,1.0141,0.9452,1.0474
DATA SCIENCE,Sabaragamuwa University of Sri Lanka,1.3613,1.3505,1.4172,1.1836,1.3509,0.9592,1.3813,1.402,1.4023,1.3979,1.0163,0.5768,0.5742,1.1215,1.247,1.2586,1.3876,1.2104,1.3894,1.3049,1.2577,1.3884,1.3114,1.3966,1.3317
PHYSICAL EDUCATION #,University of Jaffna,0.1613,0.03,NQC,NQC,NQC,0.2803,NQC,NQC,NQC,0.197,0.3664,0.7151,0.5126,0.197,0.1176,0.2359,0.0565,-0.0226,1.0374,0.0136,NQC,NQC,NQC,NQC,NQC
PHYSICAL EDUCATION #,Sabaragamuwa University of Sri Lanka,-0.1884,-0.753,-0.3062,-0.5104,-0.5743,-0.433,NQC,0.1621,-0.3248,0.7122,NQC,0.2804,0.315,NQC,-0.427,-0.2996,0.1651,-0.2763,-0.0164,-0.703,NQC,-0.4326,0.1575,0.0744,-0.4763
SPORTS SCIENCE & MANAGEMENT #,University of Sri Jayewardenepura,0.8551,0.8391,0.8588,NQC,0.9146,1.103,0.8627,1.2009,1.0829,NQC,1.1502,NQC,0.9354,NQC,0.9992,0.9427,1.2696,0.8768,1.0252,NQC,1.0606,0.857,NQC,1.0454,0.8375
SPORTS SCIENCE & MANAGEMENT #,University of Kelaniya,0.6632,0.6882,0.7368,0.7824,0.6672,1.0894,0.6865,0.8214,0.6952,NQC,NQC,0.8277,NQC,NQC,NQC,NQC,0.9496,0.6881,0.7317,NQC,0.9622,NQC,NQC,0.7164,NQC
SPORTS SCIENCE & MANAGEMENT #,Sabaragamuwa University of Sri Lanka,0.5376,0.5532,0.4018,0.4505,0.7381,-0.31,0.1814,0.4293,0.2507,-0.348,0.9333,NQC,NQC,NQC,0.2434,-0.1692,0.4199,0.7034,0.3235,0.154,-0.225,0.3061,0.5453,0.2845,0.4114
SPEECH AND HEARING SCIENCES #,University of Kelaniya,1.3018,1.5693,1.5179,1.5218,1.4592,1.1876,1.3344,1.2648,1.4845,1.358,0.3224,1.4451,0.9655,1.021,1.291,1.5633,1.5559,1.3925,1.4361,1.2651,0.8484,1.3959,1.2657,1.4631,1.413
TOURISM & HOSPITALITY MANAGEMENT,Rajarata University of Sri Lanka,1.317,1.4184,1.3726,1.4645,1.4195,1.4555,1.4395,NQC,1.3499,1.1544,1.4279,1.499,NQC,NQC,1.2201,1.1673,1.3212,1.3726,1.4894,1.4365,NQC,NQC,1.3814,1.459,1.4802
TOURISM & HOSPITALITY MANAGEMENT,Sabaragamuwa University of Sri Lanka,1.4437,1.4381,1.4432,1.4457,1.453,1.4527,1.4384,1.4684,1.4956,NQC,NQC,NQC,1.4803,1.4549,NQC,NQC,NQC,1.4579,1.4793,1.4532,1.4531,1.4505,1.5647,1.4721,1.4721
AGRICULTURAL RESOURCE MANAGEMENT AND TECHNOLOGY,University of Ruhuna,0.5485,0.5856,0.8142,0.7527,0.8096,0.6879,0.8234,0.7875,0.8346,0.5905,0.4538,0.4403,0.3533,0.4802,0.4761,0.5988,0.595,0.5939,0.8216,0.7831,0.8683,0.6813,0.7453,0.7493,0.8147
AGRI BUSINESS MANAGEMENT,University of Ruhuna,0.5777,0.6726,0.768,0.7257,0.7283,0.7686,0.7902,0.7723,0.7755,0.7075,0.4114,0.2939,0.2891,0.2904,0.6009,0.6158,0.6398,0.5053,0.769,0.7446,0.6871,0.668,0.5931,0.7444,0.7499
GREEN TECHNOLOGY,University of Ruhuna,0.7413,0.7273,0.8642,0.6429,0.8093,0.7087,0.887,0.8585,0.8963,0.7102,0.6769,0.7586,0.2835,0.6147,0.8682,0.7257,0.5809,0.7556,0.7867,0.5755,0.552,0.7388,0.7615,0.8738,0.889
SCIENCE AND TECHNOLOGY,Uva Wellassa University of Sri Lanka,0.8494,0.8468,0.938,0.9858,0.8327,0.6925,0.9558,0.9577,0.9695,0.9713,0.8768,0.8824,0.4364,0.978,0.9462,0.9086,0.8652,0.7852,0.911,0.8199,0.5703,0.9377,0.7486,0.8652,0.8413
COMPUTER SCIENCE & TECHNOLOGY #,Uva Wellassa University of Sri Lanka,0.8917,0.9083,1.0705,0.8601,0.9592,0.5418,1.0906,1.0776,1.0951,1.1189,0.8339,1.1309,0.5434,1.0911,0.8372,1.0657,1.0531,0.9228,0.9779,0.8742,0.5404,0.8487,0.953,1.0737,0.9621
ENTREPRENEURSHIP AND MANAGEMENT #,Uva Wellassa University of Sri Lanka,1.2281,1.2471,1.2467,1.243,1.2494,1.1206,1.2645,1.277,1.1057,0.7803,1.0459,1.052,1.0752,1.097,1.1342,0.9905,1.0282,1.1519,1.2452,1.2194,1.0312,1.2359,1.2173,1.2186,1.2385
ANIMAL PRODUCTION AND FOOD TECHNOLOGY,Uva Wellassa University of Sri Lanka,0.5384,0.5861,0.6069,0.6724,0.5953,0.4334,0.6459,0.6701,0.6494,0.6557,0.4201,0.6189,0.4169,0.3547,0.6344,0.5569,0.5568,0.4438,0.6307,0.5154,0.6335,0.6017,0.5658,0.6328,0.5529
EXPORT AGRICULTURE,Uva Wellassa University of Sri Lanka,0.537,0.5625,0.6188,0.6035,0.6159,0.4346,0.6662,0.6345,0.6652,0.6271,0.6892,0.2525,0.609,0.262,0.5171,0.5436,0.5831,0.4226,0.6149,0.5316,0.6845,0.6336,0.531,0.6277,0.6147
NDUSTRIAL INFORMATION TECHNOLOGY #,Uva Wellassa University of Sri Lanka,1.2854,1.1846,1.2606,1.3092,1.2194,1.0913,1.2545,1.2693,1.2654,1.2459,0.6355,1.0465,0.9126,1.0865,1.2952,1.2347,1.2162,1.1711,1.2402,1.1379,1.3099,1.2002,1.3403,1.3427,1.3119
MINERAL RESOURCES AND TECHNOLOGY,Uva Wellassa University of Sri Lanka,0.7153,0.7197,0.7502,0.8219,0.7291,0.5238,0.8012,0.7641,0.7811,0.8167,0.805,0.5081,0.5518,0.678,0.7907,0.7541,0.7111,0.6461,0.7883,0.7585,0.5399,0.7994,0.6706,0.7396,0.7329
AQUATIC RESOURCES TECHNOLOGY,Uva Wellassa University of Sri Lanka,0.4851,0.5091,0.5867,0.6023,0.5847,0.376,0.5924,0.602,0.6085,0.6052,0.3673,0.2913,0.3244,0.3906,0.6093,0.5462,0.5723,0.4686,0.5893,0.4909,0.4733,0.566,0.4617,0.5858,0.5235
"HOSPITALITY, TOURISM AND EVENTS MANAGEMENT #",Uva Wellassa University of Sri Lanka,1.2685,1.2538,1.2836,1.2644,1.2644,1.2598,1.3126,1.2938,1.2256,0.8376,0.7287,1.2047,0.8884,1.268,1.171,0.9571,1.067,1.1635,1.249,1.2046,1.071,1.2249,1.0519,1.2393,1.2733
ENGLISH LANGUAGE & APPLIED LINGUISTICS,Uva Wellassa University of Sri Lanka,1.4101,1.3601,1.4323,1.5115,1.4723,1.5522,1.4373,1.5183,1.5221,1.5936,1.4479,1.4857,1.1513,1.528,1.5847,1.5599,1.5817,1.4694,1.4497,1.4585,1.4342,1.5813,1.5784,1.5876,1.4209
PLANTATION MANAGEMENT AND TECHNOLOGY,Uva Wellassa University of Sri Lanka,0.5741,0.6009,0.6723,0.5582,0.6124,0.4775,0.6795,0.6569,0.6543,0.6486,0.477,0.2077,0.2664,0.4625,0.4967,0.5157,0.537,0.4018,0.6595,0.4957,0.4619,0.5913,0.5748,0.6279,0.538
ENGINEERING TECHNOLOGY (ET),University of Colombo,1.7916,1.7798,1.7798,1.7553,1.7588,1.889,1.7665,1.7598,1.7827,1.8646,1.8774,NQC,NQC,NQC,1.7613,1.7827,NQC,1.823,1.7725,1.783,NQC,1.7891,1.8538,1.8327,1.8044
ENGINEERING TECHNOLOGY (ET),University of Sri Jayewardenepura,1.9509,1.94,1.9259,1.9103,2.0072,1.9312,1.9102,1.9196,NQC,1.9351,2.0729,NQC,NQC,NQC,2.2248,1.9269,2.1379,2.0283,1.9116,1.9146,NQC,1.919,2.0072,2.1312,1.9326
ENGINEERING TECHNOLOGY (ET),University of Ruhuna,1.6559,1.6534,1.648,1.6926,1.6514,1.7028,1.6549,1.6526,1.6672,1.6823,NQC,NQC,NQC,NQC,1.7241,1.657,1.6995,1.7054,1.6475,1.6682,1.6681,1.6578,NQC,1.6593,1.6637
ENGINEERING TECHNOLOGY (ET),University of Jaffna,1.0845,1.0934,1.1722,1.1816,0.987,0.9164,1.2399,1.302,1.1762,0.7821,0.0642,0.4322,0.5534,0.2225,0.595,0.9831,0.7647,0.6744,1.1684,0.9217,0.744,1.1227,0.768,1.3712,1.0801
ENGINEERING TECHNOLOGY (ET),University of Ruhuna,1.3305,1.3324,1.3432,1.3594,1.3364,1.3314,1.3448,1.3384,1.3703,NQC,NQC,NQC,1.4436,NQC,1.5264,1.6356,1.5802,1.5422,1.3397,1.396,1.4564,1.3429,1.3838,1.35,1.3427
ENGINEERING TECHNOLOGY (ET),Rajarata University of Sri Lanka,1.0776,1.0672,1.0766,1.2354,0.9805,0.9125,1.2663,1.4843,NQC,1.0437,NQC,NQC,NQC,0.9334,0.9775,1.0002,0.9684,0.9488,1.1712,0.9205,0.9219,1.1501,0.9738,1.1298,1.0947
ENGINEERING TECHNOLOGY (ET),Sabaragamuwa University of Sri Lanka,1.1389,1.1374,1.1472,1.2403,1.1482,1.2403,1.1767,1.3418,1.1694,NQC,NQC,NQC,1.1804,1.5407,NQC,1.2859,1.1709,1.181,1.1884,1.1829,NQC,1.1399,1.1678,1.1409,1.1389
ENGINEERING TECHNOLOGY (ET),Wayamba University of Sri Lanka,1.2138,1.2094,1.2399,1.2222,1.2194,1.2109,1.2163,1.3251,1.2114,1.2638,NQC,NQC,NQC,NQC,1.2614,1.2088,1.2379,1.2221,1.2134,1.2119,1.542,1.226,1.2055,1.2144,1.2139
ENGINEERING TECHNOLOGY (ET),Uva Wellassa University of Sri Lanka,1.0934,1.0757,1.0733,1.1874,1.0243,1.0223,1.1782,1.3046,1.2055,1.0287,NQC,NQC,NQC,1.0215,1.1551,1.0721,0.9938,1.0835,1.2148,1.0047,1.0262,1.0948,0.988,1.1452,1.1187
BIOSYSTEMS TECHNOLOGY (BST),University of Colombo,1.7011,1.6256,1.6699,1.6552,1.6894,1.624,1.6564,1.6347,1.6236,1.8488,NQC,NQC,1.6709,NQC,1.6355,1.7305,1.7506,1.6433,1.6345,1.6543,NQC,1.6552,2.2985,1.6243,1.6512
BIOSYSTEMS TECHNOLOGY (BST),University of Sri Jayewardenepura,1.935,1.8915,1.8943,2.0212,1.9352,2.0122,1.9062,1.9476,1.9303,2.0881,NQC,NQC,NQC,NQC,2.0765,1.8957,1.9967,2.8457,2.0403,1.9157,1.9195,1.9126,2.0695,1.9288,1.9088
BIOSYSTEMS TECHNOLOGY (BST),University of Jaffna,0.8181,0.8056,0.8846,1.1028,0.9489,0.8727,1.002,NQC,1.0592,0.8051,NQC,NQC,NQC,0.8241,0.9341,0.873,0.9533,0.8061,1.015,0.9981,0.8136,1.1218,0.9894,NQC,0.9367
BIOSYSTEMS TECHNOLOGY (BST),University of Ruhuna,1.4331,1.4198,1.4293,NQC,1.4457,1.4823,1.4506,1.4648,1.5426,NQC,NQC,1.4963,NQC,NQC,1.5564,NQC,1.4465,NQC,1.4225,1.4193,NQC,1.4861,1.4434,1.4191,1.4192
BIOSYSTEMS TECHNOLOGY (BST),"Eastern University, Sri Lanka",0.4505,0.674,0.93,NQC,1.0142,0.8509,0.7175,NQC,1.0748,0.4389,0.0815,0.6483,0.1977,0.5622,0.6076,0.9926,1.3297,0.7654,1.0276,1.0094,0.7598,1.1276,0.8823,NQC,0.9579
BIOSYSTEMS TECHNOLOGY (BST),South Eastern University of Sri Lanka,0.4282,0.6711,0.9123,NQC,0.9851,0.8014,0.6873,NQC,NQC,0.4207,0.5054,0.6748,NQC,0.4994,0.6722,1.1852,0.9778,0.8261,1.0485,NQC,0.6787,1.1268,0.9414,NQC,0.9593
BIOSYSTEMS TECHNOLOGY (BST),Rajarata University of Sri Lanka,1.1045,1.1069,1.1074,1.1011,1.1036,1.2979,1.1071,1.3619,1.1025,1.3054,NQC,NQC,NQC,NQC,1.2816,1.1164,NQC,1.1188,1.1157,1.1094,NQC,1.1227,1.1224,1.1227,1.1143
BIOSYSTEMS TECHNOLOGY (BST),Sabaragamuwa University of Sri Lanka,1.202,1.2185,1.2119,1.3209,1.1942,1.194,1.2103,1.1956,1.1885,NQC,NQC,1.2247,NQC,NQC,NQC,1.6174,1.247,1.1945,1.1883,1.1997,1.3367,1.1894,1.213,1.1895,1.2063
BIOSYSTEMS TECHNOLOGY (BST),Wayamba University of Sri Lanka,1.3115,1.2845,1.3059,1.3021,1.35,1.5024,1.3731,1.2998,1.2959,NQC,1.3952,1.3073,NQC,NQC,1.4643,1.4707,1.3013,1.2947,1.3399,1.2827,1.5222,1.2904,1.2984,1.3118,1.3437
BIOSYSTEMS TECHNOLOGY (BST),Uva Wellassa University of Sri Lanka,1.1466,1.1423,1.1392,1.4005,1.1435,1.1323,1.2831,1.192,1.1367,1.4436,NQC,NQC,NQC,1.1446,NQC,1.1487,1.1408,NQC,1.1463,1.1522,1.2411,1.1403,1.1313,1.1638,1.1338
INFORMATION COMMUNICATION TECHNOLOGY,University of Colombo,2.0302,2.0519,2.0287,2.0708,2.0953,2.0682,2.0443,2.0278,2.0748,2.0449,NQC,NQC,NQC,NQC,2.1626,2.2895,2.0736,2.2166,2.066,2.041,2.0605,2.0492,2.042,NQC,2.0827
INFORMATION COMMUNICATION TECHNOLOGY,University of Sri Jayewardenepura,2.2594,2.2575,2.2523,2.2375,2.2748,2.249,2.233,2.2341,2.3179,2.2743,NQC,NQC,NQC,NQC,2.2778,2.2707,2.4197,2.2483,2.3076,2.3644,3.1166,2.2533,2.2375,2.2542,2.335
INFORMATION COMMUNICATION TECHNOLOGY,University of Kelaniya,1.9023,1.9146,1.9073,1.9106,1.9205,2.0037,1.9038,1.9567,1.9451,1.9039,NQC,NQC,NQC,NQC,1.9857,1.9048,2.0068,1.9019,1.9087,1.9023,1.9857,1.9184,1.994,1.9378,1.9812
INFORMATION COMMUNICATION TECHNOLOGY,University of Ruhuna,1.6931,1.6873,1.6794,1.6922,1.7525,1.7607,1.674,1.6745,1.6927,NQC,NQC,NQC,NQC,NQC,NQC,1.6993,1.8338,NQC,1.7529,1.676,NQC,1.6766,NQC,1.7883,1.6966
INFORMATION COMMUNICATION TECHNOLOGY,South Eastern University of Sri Lanka,1.0585,1.1511,1.2266,1.3633,1.0538,1.1672,1.4967,NQC,1.3243,1.0821,1.0748,NQC,NQC,1.259,1.6671,NQC,1.0832,1.0772,1.3026,1.1131,1.1115,1.1762,1.1086,1.2169,1.0523
INFORMATION COMMUNICATION TECHNOLOGY,Rajarata University of Sri Lanka,1.4153,1.3908,1.382,1.3976,1.4247,1.3969,1.4452,1.532,1.3884,1.3859,1.5104,NQC,NQC,NQC,NQC,1.3815,1.381,1.3821,1.3785,1.4027,NQC,1.3785,1.5211,1.3879,1.4266
INFORMATION COMMUNICATION TECHNOLOGY,"University of Vavuniya, Sri Lanka",0.9974,1.0193,1.4977,NQC,0.9404,0.8619,NQC,NQC,1.3141,0.8547,0.8913,0.5081,0.2412,0.1369,0.7518,1.3603,0.8812,0.8199,1.3026,1.0335,0.669,1.2276,0.7886,1.2555,1.0482
INFORMATION COMMUNICATION TECHNOLOGY,Uva Wellassa University of Sri Lanka,1.5338,1.5746,1.5374,1.5794,1.5392,1.6373,1.548,1.554,1.5584,1.8565,NQC,NQC,NQC,NQC,1.7729,1.5967,1.6034,1.6217,1.5324,1.5535,1.8568,1.5882,1.5603,1.5584,1.5407
PHYSICAL SCIENCE -ICT,University of Sri Jayewardenepura,0.9679,0.9607,0.9734,1.2561,1.0196,NQC,0.9758,0.9772,0.962,0.9819,NQC,NQC,NQC,NQC,NQC,0.9607,NQC,1.3494,0.9763,0.9904,NQC,NQC,NQC,1.039,0.9947
PHYSICAL SCIENCE -ICT,University of Kelaniya,0.8942,0.8843,0.9089,0.4549,0.6295,0.4319,0.9235,1.3015,0.7725,0.9422,-0.0832,NQC,-0.2476,0.4188,0.5883,0.5258,-0.0818,0.198,0.881,0.6726,0.2815,0.5365,0.8387,0.7501,0.6155
TRANSLATION STUDIES #,University of Kelaniya,1.3257,1.3795,1.2803,1.3401,1.2902,NQC,1.3169,1.3136,1.2827,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.3924,NQC,1.3606,NQC,NQC,NQC
TRANSLATION STUDIES #,University of Jaffna,0.3594,NQC,0.5809,NQC,0.6802,0.7378,NQC,0.2825,NQC,0.926,0.6382,0.8658,0.9694,0.9181,0.1045,0.9021,0.5429,0.891,0.317,-0.3788,NQC,0.308,NQC,0.6421,0.5192
TRANSLATION STUDIES #,"Eastern University, Sri Lanka",0.6717,0.924,0.7276,0.6232,0.7095,1.3782,0.8917,NQC,NQC,NQC,NQC,NQC,NQC,NQC,0.757,0.8875,0.585,1.2304,0.7734,0.6794,NQC,1.2677,NQC,0.6656,NQC
TRANSLATION STUDIES #,Sabaragamuwa University of Sri Lanka,1.1138,0.8462,1.0886,0.9007,0.9852,NQC,1.1879,1.1603,1.0815,NQC,NQC,NQC,NQC,NQC,NQC,NQC,NQC,0.7059,0.6582,1.0974,0.9177,1.0347,NQC,0.9974,1.0633
FILM & TELEVISION STUDIES #,University of Kelaniya,1.0316,0.8714,1.0585,NQC,0.7936,0.515,1.1485,1.1187,1.199,NQC,NQC,NQC,NQC,NQC,NQC,NQC,0.7682,0.6505,1.0794,0.9846,1.4126,1.125,1.055,1.209,1.0389
PROJECT MANAGEMENT,"University of Vavuniya, Sri Lanka",1.3184,1.304,1.3114,1.4221,1.3343,1.394,1.3229,1.3183,1.317,1.4395,1.2347,1.2516,1.1682,1.4837,1.483,1.4334,1.4135,1.4858,1.425,1.3737,1.4168,1.3095,1.432,1.4662,1.348
TEACHING ENGLISH AS A SECOND LANGUAGE (TESL) *,University of Sri Jayewardenepura,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633,1.0633
TEACHING ENGLISH AS A SECOND LANGUAGE (TESL) *,University of Kelaniya,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999,1.0999
VISUAL ARTS #,University of the Visual & Performing Arts,0.8758,0.602,0.9569,1.2767,0.9707,0.7268,0.1914,1.2467,1.1013,NQC,NQC,NQC,NQC,NQC,1.1231,NQC,0.463,0.6723,1.0532,0.9405,1.0939,0.5424,1.1041,1.0478,0.9832
MUSIC #,University of Sri Jayewardenepura,0.7807,-0.0905,0.3424,0.5595,0.0659,0.6688,1.766,0.858,0.9397,NQC,NQC,NQC,NQC,NQC,NQC,NQC,1.2128,NQC,0.9007,0.9304,0.5276,1.0123,0.5185,0.8921,0.7336
MUSIC #,University of the Visual & Performing Arts,0.2977,0.2155,0.5951,0.9793,0.8065,0.3023,0.9002,0.8851,0.4056,-0.2374,NQC,NQC,NQC,1.4451,0.6958,-0.2295,0.3449,0.4423,0.8633,0.8027,0.8736,0.7726,0.7226,0.9599,0.8004
DANCE #,University of the Visual & Performing Arts,0.7756,0.8958,0.9194,0.9385,0.9312,-0.1693,1.0293,1.0088,0.6664,NQC,NQC,NQC,NQC,1.105,0.8009,NQC,0.6324,0.0388,0.9299,0.971,0.7846,0.6111,0.9871,1.032,0.6529
DRAMA & THEATRE #,University of the Visual & Performing Arts,0.9184,0.7873,0.4765,1.0223,0.5006,0.394,0.3861,0.9872,NQC,NQC,NQC,NQC,NQC,NQC,0.7855,NQC,0.4125,0.9381,1.0478,0.9686,0.8736,1.0374,1.0565,1.0519,0.7332
ART & DESIGN #,University of Jaffna,NQC,1.2643,NQC,0.5481,NQC,-0.2382,1.3809,0.7901,NQC,0.375,-0.0806,0.705,0.5589,0.9317,0.3538,-0.2254,0.317,0.4301,NQC,-0.04,NQC,0.0831,0.2499,0.2188,0.4776
MUSIC #,University of Jaffna,0.0672,NQC,0.4778,0.274,0.1218,0.4185,NQC,-0.0609,NQC,0.5709,0.3848,0.569,0.6667,0.4882,-0.2208,0.5115,-0.8079,0.7703,NQC,NQC,NQC,-0.3555,0.418,0.8706,NQC
DANCE #,University of Jaffna,0.0655,-0.4526,-0.5592,0.4399,-0.0591,0.1365,NQC,NQC,NQC,0.4859,0.3409,0.1749,0.4024,0.4496,-0.0199,0.4023,-0.2764,-0.4137,NQC,NQC,NQC,0.2607,NQC,0.9244,-0.1878
VISUAL & TECHNOLOGICAL ARTS #,Swami Vipulananda Institute of Aesthetic Studies,NQC,NQC,-0.4372,0.467,-0.0373,0.2056,NQC,-0.1418,-0.0806,0.2134,0.9594,0.4944,0.4468,NQC,0.34,0.6957,0.5714,0.2398,0.345,0.1912,-0.2883,0.1355,0.0474,-0.5133,0.1522
MUSIC #,Swami Vipulananda Institute of Aesthetic Studies,NQC,NQC,0.6484,-0.2345,-0.5822,0.5513,-0.9468,0.238,NQC,0.566,0.5767,0.564,0.6064,-0.0913,0.5759,0.7486,0.0929,NQC,NQC,NQC,0.1868,-0.1891,NQC,0.5523,-0.0469
DANCE #,Swami Vipulananda Institute of Aesthetic Studies,0.2439,NQC,0.7635,-0.1395,-0.6296,0.0173,NQC,NQC,NQC,0.406,0.4378,0.5766,0.3287,-0.3866,0.9836,0.471,-0.1534,NQC,NQC,NQC,NQC,-0.2628,NQC,NQC,NQC
DRAMA & THEATRE #,Swami Vipulananda Institute of Aesthetic Studies,-0.3643,NQC,0.0772,0.4405,-0.1319,0.3666,NQC,NQC,NQC,0.9743,1.0107,0.8425,0.9723,0.3932,0.9159,0.9995,0.786,0.4275,0.0571,NQC,-0.9508,-0.0167,NQC,0.7294,0.4033
